,Unnamed: 0,location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,current_ventilator_patients,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_density,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
20,20,GB_SCT,2020-01-21,ChIJn6HyA8TiYUgRFAfDCdj6wec,Q22,nuts/UKM,GB,United Kingdom,SCT,Scotland,GB,GBR,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5454238,2656113,2798125,69.9,579007,572323,733337,715398,685929,792656,640452,468433,266703,212965349800,39176,58446,57.0,-5.0,78782,79.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.56,6.604167,4.6875,7.527778,0.127,0.0,6.095238,95.388159
21,21,GB_SCT,2020-01-22,ChIJn6HyA8TiYUgRFAfDCdj6wec,Q22,nuts/UKM,GB,United Kingdom,SCT,Scotland,GB,GBR,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5454238,2656113,2798125,69.9,579007,572323,733337,715398,685929,792656,640452,468433,266703,212965349800,39176,58446,57.0,-5.0,78782,79.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.56,7.253086,6.141975,8.358025,0.41275,0.0,6.840278,94.736446
22,22,GB_SCT,2020-01-23,ChIJn6HyA8TiYUgRFAfDCdj6wec,Q22,nuts/UKM,GB,United Kingdom,SCT,Scotland,GB,GBR,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5454238,2656113,2798125,69.9,579007,572323,733337,715398,685929,792656,640452,468433,266703,212965349800,39176,58446,57.0,-5.0,78782,79.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.56,5.208333,3.944444,6.868056,0.036286,0.0,3.847222,91.413668
23,23,GB_SCT,2020-01-24,ChIJn6HyA8TiYUgRFAfDCdj6wec,Q22,nuts/UKM,GB,United Kingdom,SCT,Scotland,GB,GBR,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5454238,2656113,2798125,69.9,579007,572323,733337,715398,685929,792656,640452,468433,266703,212965349800,39176,58446,57.0,-5.0,78782,79.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.56,4.345679,3.117284,6.04321,0.5715,0.0,3.265432,93.000278
24,24,GB_SCT,2020-01-25,ChIJn6HyA8TiYUgRFAfDCdj6wec,Q22,nuts/UKM,GB,United Kingdom,SCT,Scotland,GB,GBR,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5454238,2656113,2798125,69.9,579007,572323,733337,715398,685929,792656,640452,468433,266703,212965349800,39176,58446,57.0,-5.0,78782,79.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.56,4.475309,3.481481,5.839506,0.09525,0.0,2.638889,86.625197
25,25,GB_SCT,2020-01-26,ChIJn6HyA8TiYUgRFAfDCdj6wec,Q22,nuts/UKM,GB,United Kingdom,SCT,Scotland,GB,GBR,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5454238,2656113,2798125,69.9,579007,572323,733337,715398,685929,792656,640452,468433,266703,212965349800,39176,58446,57.0,-5.0,78782,79.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.56,2.261905,-2.349206,5.238095,1.058333,0.0,0.436508,88.173809
26,26,GB_SCT,2020-01-27,ChIJn6HyA8TiYUgRFAfDCdj6wec,Q22,nuts/UKM,GB,United Kingdom,SCT,Scotland,GB,GBR,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5454238,2656113,2798125,69.9,579007,572323,733337,715398,685929,792656,640452,468433,266703,212965349800,39176,58446,57.0,-5.0,78782,79.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.56,-0.728395,-2.444444,0.62963,2.648857,73.66,-2.222222,90.012146
27,27,GB_SCT,2020-01-28,ChIJn6HyA8TiYUgRFAfDCdj6wec,Q22,nuts/UKM,GB,United Kingdom,SCT,Scotland,GB,GBR,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5454238,2656113,2798125,69.9,579007,572323,733337,715398,685929,792656,640452,468433,266703,212965349800,39176,58446,57.0,-5.0,78782,79.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.56,-1.416667,-3.986111,1.111111,0.762,49.953333,-2.159722,94.799399
28,28,GB_SCT,2020-01-29,ChIJn6HyA8TiYUgRFAfDCdj6wec,Q22,nuts/UKM,GB,United Kingdom,SCT,Scotland,GB,GBR,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5454238,2656113,2798125,69.9,579007,572323,733337,715398,685929,792656,640452,468433,266703,212965349800,39176,58446,57.0,-5.0,78782,79.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.56,1.180556,-1.326389,4.229167,4.245429,60.96,0.173611,93.212549
29,29,GB_SCT,2020-01-30,ChIJn6HyA8TiYUgRFAfDCdj6wec,Q22,nuts/UKM,GB,United Kingdom,SCT,Scotland,GB,GBR,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5454238,2656113,2798125,69.9,579007,572323,733337,715398,685929,792656,640452,468433,266703,212965349800,39176,58446,57.0,-5.0,78782,79.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.56,4.62963,2.123457,6.604938,6.096,10.16,3.302469,91.422668
