location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
AD,2020-01-25,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.180556,1.180556,8.875,0.0,,2.402778,82.47903
AD,2020-01-26,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.652778,1.819444,8.055556,0.592667,,3.166667,90.083551
AD,2020-01-27,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.875,-0.25,8.208333,0.8255,279.4,1.5,85.00468
AD,2020-01-28,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.152778,1.625,11.680556,0.127,,2.541667,78.103159
AD,2020-01-29,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.722222,0.513889,11.583333,0.508,,0.875,71.143239
AD,2020-01-30,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.847222,4.166667,12.361111,0.0635,,5.458333,84.981803
AD,2020-01-31,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.388889,5.902778,14.513889,0.592667,,6.625,82.942981
AD,2020-02-01,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.722222,3.694444,15.277778,0.0,,6.097222,83.646839
AD,2020-02-02,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.652778,4.875,17.763889,1.778,,5.930556,72.713263
AD,2020-02-03,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.402778,6.069444,18.402778,0.0,,4.375,62.286912
AD,2020-02-04,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.152778,4.388889,14.986111,0.0,,0.902778,58.249856
AD,2020-02-05,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.125,0.597222,10.555556,2.413,,-4.305556,53.732378
AD,2020-02-06,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.791667,-0.958333,12.0,0.0,,-3.833333,55.528199
AD,2020-02-07,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.625,1.125,10.888889,0.0,,-1.319444,61.732936
AD,2020-02-08,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.083333,1.25,11.958333,0.0,,0.694444,69.123634
AD,2020-02-09,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.222222,2.069444,12.972222,0.0635,,3.430556,77.239265
AD,2020-02-10,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.75,5.666667,16.416667,0.0,,6.097222,73.062773
AD,2020-02-11,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.0,6.486111,14.125,33.147,,6.0,76.354432
AD,2020-02-12,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.916667,4.305556,12.708333,40.470667,,4.027778,76.492612
AD,2020-02-13,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.347222,2.944444,14.805556,22.479,,4.166667,75.391154
AD,2020-02-14,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,AD,AND,0,0,0,0,0,,,,,,,,77265,58625,55581,9269,67873,164.394,0.858,9370,12022,10727,12394,21001,20720,14433,8657,4881,3154057987,40886,9407,42.558333,1.555278,470,33.5,7.7,2.7,4.0128,3.3333,4040.786621,1688.12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.791667,3.569444,14.652778,17.8435,,3.777778,70.875799
